from,to
76561197968380577,76561197960323560
76561197968380577,76561197960335549
76561197968380577,76561197960344615
76561197968380577,76561197960395880
76561197968380577,76561197960437127
76561197968380577,76561197960440107
76561197968380577,76561197960803030
76561197968380577,76561197960816556
76561197968380577,76561197960934547
76561197968380577,76561197961125186
76561197968380577,76561197961230600
76561197968380577,76561197961611304
76561197968380577,76561197961841790
76561197968380577,76561197962152946
76561197968380577,76561197962822736
76561197968380577,76561197963187291
76561197968380577,76561197963249022
76561197968380577,76561197968600250
76561197968380577,76561197968697770
76561197968380577,76561197968993084
76561197968380577,76561197969210908
76561197968380577,76561197969981708
76561197968380577,76561197971373433
76561197968380577,76561197972490205
76561197968380577,76561197972899681
76561197968380577,76561197973059758
76561197968380577,76561197973802976
76561197968380577,76561197974270729
76561197968380577,76561197975347590
76561197968380577,76561197977080062
76561197968380577,76561197984696642
76561197968380577,76561197988082765
76561197968380577,76561197988756672
76561197968380577,76561197989329718
76561197968380577,76561197990017229
76561197968380577,76561197991603093
76561197968380577,76561197991902875
76561197968380577,76561197993120960
76561197968380577,76561197993618075
76561197968380577,76561197996609455
76561197968380577,76561197997620704
76561197968380577,76561197998396732
76561197968380577,76561197999842050
76561197968380577,76561198004451424
76561197968380577,76561198006878841
76561197968380577,76561198008616376
76561197968380577,76561198011172232
76561197968380577,76561198015832644
76561197968380577,76561198026626786
76561197968380577,76561198046633795
76561197968380577,76561198052956751
76561197968380577,76561198067596044
76561197968380577,76561198148405633
76561197968380577,76561198151807348
76561197968380577,76561198156983693
76561197968380577,76561198158565125
76561197968380577,76561198160011517
76561197968380577,76561198176474587
76561197968380577,76561198176486985
76561197968380577,76561198207072824
76561198061266696,76561197960266237
76561198061266696,76561197960270682
76561198061266696,76561197960277737
76561198061266696,76561197960292126
76561198061266696,76561197960293516
76561198061266696,76561197960333443
76561198061266696,76561197960343708
76561198061266696,76561197960449048
76561198061266696,76561197960499878
76561198061266696,76561197960629165
76561198061266696,76561197960945683
76561198061266696,76561197961112857
76561198061266696,76561197961120681
76561198061266696,76561197961392977
76561198061266696,76561197961800173
76561198061266696,76561197962178088
76561198061266696,76561197962769663
76561198061266696,76561197962950921
76561198061266696,76561197963195242
76561198061266696,76561197963708836
76561198061266696,76561197964021069
76561198061266696,76561197965470720
76561198061266696,76561197965726260
76561198061266696,76561197965741230
76561198061266696,76561197965922460
76561198061266696,76561197966117629
76561198061266696,76561197966786100
76561198061266696,76561197966941457
76561198061266696,76561197967271133
76561198061266696,76561197967561729
76561198061266696,76561197967770236
76561198061266696,76561197967900815
76561198061266696,76561197969812027
76561198061266696,76561197970331648
76561198061266696,76561197970583503
76561198061266696,76561197971044593
76561198061266696,76561197971231579
76561198061266696,76561197971288317
76561198061266696,76561197971565655
76561198061266696,76561197971631363
76561198061266696,76561197972451387
76561198061266696,76561197973399262
76561198061266696,76561197973681811
76561198061266696,76561197975204116
76561198061266696,76561197975507170
76561198061266696,76561197975682355
76561198061266696,76561197976208808
76561198061266696,76561197976887668
76561198061266696,76561197977677535
76561198061266696,76561197977710357
76561198061266696,76561197978115602
76561198061266696,76561197978761608
76561198061266696,76561197979060308
76561198061266696,76561197979158610
76561198061266696,76561197979891537
76561198061266696,76561197980224923
76561198061266696,76561197980765291
76561198061266696,76561197981202185
76561198061266696,76561197982135034
76561198061266696,76561197982151760
76561198061266696,76561197983540417
76561198061266696,76561197983807123
76561198061266696,76561197984465227
76561198061266696,76561197984554141
76561198061266696,76561197985062296
76561198061266696,76561197985493902
76561198061266696,76561197986157730
76561198061266696,76561197986254689
76561198061266696,76561197987465799
76561198061266696,76561197987986814
76561198061266696,76561197989135585
76561198061266696,76561197989190723
76561198061266696,76561197989336919
76561198061266696,76561197989772554
76561198061266696,76561197989808194
76561198061266696,76561197989860121
76561198061266696,76561197990389524
76561198061266696,76561197990608554
76561198061266696,76561197990637213
76561198061266696,76561197990991816
76561198061266696,76561197991432466
76561198061266696,76561197991497035
76561198061266696,76561197991607744
76561198061266696,76561197991809361
76561198061266696,76561197992045638
76561198061266696,76561197992336523
76561198061266696,76561197992790462
76561198061266696,76561197992954647
76561198061266696,76561197993609350
76561198061266696,76561197993676638
76561198061266696,76561197993940101
76561198061266696,76561197994109444
76561198061266696,76561197994635835
76561198061266696,76561197995281656
76561198061266696,76561197995632612
76561198061266696,76561197995700755
76561198061266696,76561197995908090
76561198061266696,76561197997110564
76561198061266696,76561197997277113
76561198061266696,76561197998234986
76561198061266696,76561197998544016
76561198061266696,76561197998749611
76561198061266696,76561197998753759
76561198061266696,76561197998788448
76561198061266696,76561197999248028
76561198061266696,76561197999320255
76561198061266696,76561197999446381
76561198061266696,76561197999457425
76561198061266696,76561197999477908
76561198061266696,76561197999629462
76561198061266696,76561197999629795
76561198061266696,76561197999754291
76561198061266696,76561197999989705
76561198061266696,76561198000021217
76561198061266696,76561198000146360
76561198061266696,76561198000209329
76561198061266696,76561198001675788
76561198061266696,76561198002307676
76561198061266696,76561198002854127
76561198061266696,76561198003107402
